source,record_id,supplier,inspector,date,cc,model,color,po,po_qty,glove_type,order_type,sampling_size,critical_defects,major_defects,minor_defects,defect_qty,result,result_raw,gtd_issue,visual_issue,functional_issue,liner_issue,size_issue,important_issue,gtd_defects,visual_defects,functional_defects,liner_defects,size_defects,defect_rate,month,risk_level,has_defect,is_fail
Jiandaoyun Gloves / ZX FQC,69b75dd8693e85517b9ec6a8,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-15 16:00:00+00:00,124660,8775523,丈青,4523863699,384.0,半指,replenishment翻单,5.0,0.0,1.0,2.0,3.0,PASS,PASS合格,nan,线头   町条与手指未对齐,nan,nan,nan,线头  町条与手指未对齐,0.0,3.0,0.0,0.0,0.0,0.6,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69b75e8438e1004d784597b4,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-15 16:00:00+00:00,330572,8615465,黑色,4523984249,96.0,半指,replenishment翻单,3.0,0.0,0.0,1.0,1.0,PASS,PASS合格,nan,线头,nan,nan,nan,线头,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69b762891f49d94cabf64642,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-15 16:00:00+00:00,356209,8901066,白色,4523857269,520.0,半指,replenishment翻单,5.0,0.0,2.0,3.0,5.0,PASS,PASS合格,nan,线头   腰带明线距边不匀   连接标车线不匀,nan,nan,nan,线头   毛刺明线距边宽,0.0,5.0,0.0,0.0,0.0,1.0,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69b7db202481c127e0dcddd4,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-15 16:00:00+00:00,356209,8901066,白色,4524072594,40.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b7db304e13bb1265815ffc,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-15 16:00:00+00:00,330572,8615465,黑,4523892316,96.0,半指,replenishment翻单,3.0,0.0,0.0,1.0,1.0,PASS,PASS合格,nan,线头,nan,nan,nan,nan,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69b7db3e312828d021cd4cf8,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-15 16:00:00+00:00,333549,8647342,浅灰,4523957764,30.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b7db4870ed57cfc8cb4185,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-15 16:00:00+00:00,333549,8647342,浅灰,4523876788,30.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b7db60216c3fe196cdb7af,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-15 16:00:00+00:00,333549,8647342,浅灰,4523867706,30.0,半指,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b7db707542c07b877ce922,49425 SHANDONG JIANHUA ZHONGXING GLO,李秀玲,2026-03-15 16:00:00+00:00,308787,8549940,黑色,4523875036,180.0,半指,replenishment翻单,5.0,0.0,1.0,1.0,2.0,PASS,PASS合格,nan,内里破洞，线头,nan,nan,nan,nan,0.0,2.0,0.0,0.0,0.0,0.4,2026-03,Critical,True,False
Jiandaoyun Gloves / ZX FQC,69b8c746223539dc20a31aef,49425 SHANDONG JIANHUA ZHONGXING GLO,韩永红/3rd,2026-03-16 16:00:00+00:00,347696,8937395,绿,4522601877,216.0,滑雪,replenishment翻单,5.0,0.0,4.0,0.0,4.0,FAIL,FAIL不合格,nan,nan,nan,nan,0,nan,0.0,4.0,0.0,0.0,0.0,0.8,2026-03,Critical,True,True
Jiandaoyun Gloves / ZX FQC,69b8e36c2d841303becc3ce1,49425 SHANDONG JIANHUA ZHONGXING GLO,韩永红/3rd,2026-03-16 16:00:00+00:00,347696,8871728,黑,4523885920,126.0,滑雪,replenishment翻单,3.0,0.0,0.0,0.0,0.0,PASS,PASS合格,nan,nan,nan,nan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-03,Low,False,False
Jiandaoyun Gloves / ZX FQC,69b8f2ff39c10ea1a27405be,49425 SHANDONG JIANHUA ZHONGXING GLO,袁成英,2026-03-12 16:00:00+00:00,330572,8615465,黑色,4523857503,576.0,半指,replenishment翻单,5.0,0.0,2.0,3.0,5.0,PASS,PASS合格,nan,线头  手指暴开  明线重线不良 针洞,nan,nan,nan,线头  手指暴开  明线重线不良   针洞,0.0,5.0,0.0,0.0,0.0,1.0,2026-03,Critical,True,False
